date,total_vaccinated,people_vaccinated,people_fully_vaccinated,source_url
14/4/2021,135849,105568,30281,https://www.facebook.com/CIEH.MoH.Lao/posts/4156230341068295
16/4/2021,135849,105568,30281,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4159123480778981/
17/4/2021,135849,105568,30281,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4162200567137939/
19/4/2021,137026,106105,30921,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4168114766546519/
20/4/2021,137026,106105,30921,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4171098796248116/
21/4/2021,151175,108501,42674,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4173844132640249/
22/4/2021,156818,109706,47112,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4176909105667085/
23/4/2021,168355,115155,53200,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4179890255368970/
24/4/2021,179525,122310,57215,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4183080828383246/
25/4/2021,183678,125363,58315,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4186042474753748/
26/4/2021,184387,126072,58315,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4188940171130645/
27/4/2021,201618,140938,60680,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4191937877497541/
28/4/2021,210748,149176,61572,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4194770903880905/
29/4/2021,236979,171443,65536,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4197766266914702/
30/4/2021,260964,192454,68510,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4200739299950732/
01/5/2021,283198,212452,70746,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4203745979650064/
02/5/2021,294360,221194,73166,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4206383746052954/
03/5/2021,294360,221194,73166,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4209193822438613/
04/5/2021,317989,243059,74930,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4212195638805098/
05/5/2021,345818,269862,75956,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4215359021822093/
06/5/2021,388855,309924,78931,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4218687354822593/
07/5/2021,424686,343356,81330,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4221367731221222/
08/5/2021,451063,368475,82588,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4224569947567667/
09/5/2021,456488,373773,82715,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4227957700562225/
10/5/2021,488473,405200,83273,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4231116036913058/
11/5/2021,502715,418277,84438,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4234073149950680/
12/5/2021,502715,418277,84438,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4237175956307066/
13/5/2021,534651,448152,86499,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4240342785990383/
14/5/2021,563466,474983,88483,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4243435669014428/
15/5/2021,582747,493481,89266,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4246575502033778/
17/5/2021,623577,533172,90405,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4252697554754906/
18/5/2021,634714,542132,92582,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4256125034412158/
19/5/2021,649006,553612,95394,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4259252347432760/
20/5/2021,669259,568233,101026,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4262202193804442/
21/5/2021,690266,584532,105734,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4265233190168009/
22/5/2021,728918,602669,126249,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4268740619817266/
23/5/2021,728918,602669,126249,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4272237422800919/
24/5/2021,734284,605828,128456,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4276765079014820/
25/5/2021,750783,614566,136217,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4279554302069231/
26/5/2021,750783,614566,136217,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4282542565103738/
27/5/2021,814090,639878,174212,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4285613368129991/
28/5/2021,835133,647307,187826,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4288833641141297/
29/5/2021,856542,655998,200544,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4291809204177074/
30/5/2021,872070,657955,214115,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4295206457170682/
31/5/2021,865694,638377,227317,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4298234170201244/
01/6/2021,902456,662521,239935,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4301098636581464/
02/6/2021,914014,664661,249353,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4304300419594619/
03/6/2021,933505,667657,265848,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4306808412677153/
04/6/2021,957785,674311,283474,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4310396818984979/
05/6/2021,982253,679729,302524,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4313159632042031/
06/6/2021,993659,683354,310305,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4316731461684848
07/6/2021,1000196,686794,313402,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4319059168118744
08/6/2021,1017620,691381,326239,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4322043331153661
09/6/2021,1034588,694374,340214,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4324624397562221
10/6/2021,1054356,698503,355853,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4327538007270860
11/6/2021,1079903,708652,371251,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4330592860298708
12/6/2021,1098714,712793,385921,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4333781613313166
13/6/2021,1108388,713709,394679,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4335832316441429
14/6/2021,1110856,713818,397038,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4338773492813978/
15/6/2021,1122128,717648,404480,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4341285622562765
17/6/2021,1134347,719562,414785,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4346939231997404
18/6/2021,1183137,742607,440530,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4350701974954463
19/6/2021,1208878,753750,455128,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4352313321459995
20/6/2021,1208878,753750,455128,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4354817431209584
21/6/2021,1242184,780552,461632,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4357937744230886
22/6/2021,1268627,798257,470370,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4360880913936569
23/6/2021,1268627,798257,470370,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4363380320353295
24/6/2021,1348259,853782,494477,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4366409413383719
25/6/2021,1382009,869006,513003,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4369317163092944
26/6/2021,1408531,884428,524103,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4372652819426045
28/6/2021,1416267,886238,530029,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4377869065571087
29/6/2021,1460294,916098,544196,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4380987581925902
30/6/2021,1477443,920698,556745,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4384449448246382
01/7/2021,1477443,920698,556745,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4386448811379779
02/7/2021,1509954,932550,577404,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4389403597750967
03/7/2021,1509954,932550,577404,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4392512107440116
04/7/2021,1530667,942835,587832,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4394861597205167
05/7/2021,1537511,947702,589809,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4397910683566925
06/7/2021,1552182,956535,595647,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4400931953264798
08/7/2021,1606520,990433,616087,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4406535126037814
09/07/2021,1632508,1006089,626419,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4410001629024497
11/07/2021,1658368,1022072,636296,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4415087238515936
12/7/2021,1666793,1025248,641545,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4417976938226966
13/7/2021,1678333,1030461,647872,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4421101584581168
14/7/2021,1678333,1030461,647872,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4423842137640446
15/7/2021,1708981,1038254,670727,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4426785750679418
16/7/2021,1746331,1048106,698225,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4429930087031651
18/7/2021,1777140,1050818,726322,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4435709083120418
19/7/2021,1781622,1051513,730109,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4438799956144664
20/7/2021,1800621,1056672,743949,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4441648729193120
21/7/2021,1829935,1059960,769975,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4444410872250239
22/7/2021,1861872,1061689,800183,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4447159365308723
23/7/2021,1861872,1061689,800183,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4450700794954580
24/7/2021,1890818,1062072,828746,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4453741577983835
25/7/2021,1890818,1062072,828746,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4456639417694051
26/7/2021,1895038,1062365,832673,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4459809794043680
27/7/2021,1912947,1070856,842091,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4462216650469661
28/7/2021,1933275,1082993,850282,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4465277730163553
29/7/2021,1967107,1109541,857566,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4468360683188591
30/7/2021,1993701,1129931,863770,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4471648766193116
31/7/2021,2032440,1163195,869245,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4474074452617214
01/8/2021,2050711,1179668,871043,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4477296438961682
02/8/2021,2187200,1190182,997018,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4479932485364744
03/8/2021,2187200,1190182,997018,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4482989648392361
04/8/2021,2315332,1247265,1068067,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4485824951442164
05/8/2021,2376172,1274476,1101696,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4488775221147137
06/8/2021,2479026,1315924,1163102,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4492235804134412
07/8/2021,2574275,1361484,1212791,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4495683720456287
08/8/2021,2574275,1361484,1212791,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4497959293562063
09/8/2021,2620478,1387083,1233395,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4500726746618651
10/8/2021,2620478,1387083,1233395,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4504152902942702
11/8/2021,2620478,1387083,1233395,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4507169779307681
12/8/2021,2871621,1524924,1346697,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4510402978984361
13/8/2021,3019358,1604809,1414549,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4514207158603943
14/8/2021,3118472,1662994,1455478,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4516625725028753
15/8/2021,3180037,1700139,1479898,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4519778404713485
16/8/2021,3206507,1717143,1489364,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4522454347779224
17/8/2021,3267384,1756711,1510673,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4525529267471732
19/8/2021,3482206,1904956,1577250,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4532423266782332
20/8/2021,3619649,1999487,1620162,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4535164286508230
21/8/2021,3707109,2060418,1646691,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4537919022899423
22/8/2021,3774074,2109937,1664137,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4541757552515570
23/8/2021,3799078,2131014,1668064,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4543979098960082
24/8/2021,3874672,2188426,1686246,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4546998405324818
25/8/2021,3937503,2235384,1702119,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4550239458334046
27/8/2021,4001318,2278765,1722553,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4556663764358282
28/8/2021,4135314,2376594,1758720,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4559302737427718
29/8/2021,4182234,2407056,1775178,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4562050697152922
30/8/2021,4205037,2420333,1784704,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4565404803484178
31/8/2021,4238543,2443845,1794698,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4569041376453854
01/9/2021,4278784,2474767,1804017,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4571367186221273
02/9/2021,4319366,2504151,1815215,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4574548982569760
03/9/2021,4354163,2529903,1824260,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4577888155569176
04/9/2021,4369013,2537992,1831021,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4580900685267923
05/9/2021,4369013,2537992,1831021,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4584409724917019
06/9/2021,4382959,2545657,1837302,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4587051957986129
07/9/2021,4402770,2560372,1842398,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4590792540945404
08/9/2021,4402770,2560372,1842398,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4593152474042744
09/9/2021,4448606,2601870,1846736,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4596391453718846
10/9/2021,4493535,2633604,1859931,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4599639103394081
11/9/2021,4511363,2650948,1860415,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4602653989759259
12/9/2021,4518410,2656850,1861560,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4605876039437054
13/9/2021,4529003,2663816,1865187,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4608962772461714/
14/9/2021,4543362,2676337,1867025,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4612142328810425/
15/9/2021,4543362,2676337,1867025,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4615370961820895/
16/9/2021,4630331,2739614,1890717,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4618817061476285/
17/9/2021,4623238,2722304,1900934,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4623033371054654/
18/9/2021,4696487,2788830,1907657,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4625570324134292/
19/9/2021,4708909,2799549,1909360,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4628769070481084/
21/9/2021,4735714,2818387,1917327,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4635390079818983/
22/9/2021,4776720,2845230,1931490,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4638634856161172/
23/9/2021,4826961,2870044,1956917,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4641976835826974/
24/9/2021,4826961,2870044,1956917,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4645094628848528/
25/9/2021,4912775,2911326,2001449,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4648511455173512/
26/9/2021,4924055,2915317,2008738,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4651755604849097/
27/9/2021,4941562,2929260,2012302,https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4654918244532833
29/9/2021,4981653,2946298,2035355,https://www.facebook.com/photo?fbid=228964112599858
